T: 71493 ID: 107, Data: 00 00 F8 00 00 00 00 00 
T: 71493 ID: 3D8, Data: 00 80 04 00 00 00 00 00 
T: 71493 ID: 172, Data: 00 00 00 00 00 00 00 00 
T: 71493 ID: 3DC, Data: E0 08 00 00 00 05 00 00 
T: 71493 ID: FD, Data: 26 DA 1F 80 00 00 00 00 
T: 71493 ID: 324, Data: F8 04 00 00 00 00 00 12 
T: 71493 ID: 5A0, Data: 0D 73 81 20 78 
T: 71493 ID: 395, Data: 04 09 40 02 FE FE 75 2C 
T: 71493 ID: 485, Data: 0A 10 D0 11 B7 4C 21 5B 
T: 71493 ID: 6C0, Data: 10 00 44 01 19 10 00 00 
T: 71493 ID: 101, Data: CD 0C 7D 02 82 17 00 00 
T: 71493 ID: 12B, Data: 69 17 80 10 00 00 00 00 
T: 71493 ID: 40, Data: 8C 03 00 00 C3 00 00 00 
T: 71493 ID: 31B, Data: AF 01 00 00 00 00 00 00 
T: 71493 ID: 101, Data: AD 0D 7D 02 82 1A 00 00 
T: 71493 ID: 6C0, Data: 4B 00 04 01 11 00 00 03 
T: 71493 ID: 32A, Data: 2D 03 00 00 48 02 00 00 
T: 71493 ID: FD, Data: 19 DD 1F 80 00 00 00 00 
T: 71493 ID: 12B, Data: BC 18 80 10 00 00 00 00 
T: 71493 ID: 663, Data: 60 28 01 0E 00 90 00 00 
T: 71493 ID: 661, Data: 1A 00 00 00 00 00 00 00 
T: 71493 ID: 6C0, Data: 23 00 04 01 01 00 00 00 
T: 71493 ID: 30B, Data: 50 03 00 00 08 00 00 00 
T: 71493 ID: 32F, Data: 00 00 00 00 00 00 00 00 
T: 71493 ID: 520, Data: E4 08 00 0C 00 AA 02 00 
T: 71493 ID: 2A7, Data: 00 00 59 41 00 00 00 08 
T: 71493 ID: 30C, Data: 4D F6 3F 00 60 30 00 50 
T: 71493 ID: 32A, Data: 3E 04 00 00 48 02 00 00 
T: 71493 ID: 3CE, Data: 00 00 00 00 84 00 00 00 
T: 71493 ID: 395, Data: 04 0A 40 02 FE FE 75 2C 
T: 71493 ID: 6C0, Data: 14 00 04 01 01 00 00 00 
T: 71493 ID: FD, Data: 0B D0 1F 80 00 00 00 00 
T: 71493 ID: 116, Data: E2 00 00 00 00 00 00 FF 
T: 71493 ID: 30D, Data: 00 00 00 00 
T: 71493 ID: 40, Data: FB 05 00 00 C3 00 00 00 
T: 71493 ID: 462, Data: 00 00 38 00 00 01 00 00 
T: 71493 ID: 3D6, Data: 0B 00 00 00 00 00 00 00 
